Movie,Who Died,Description,Gender
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #38,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #39,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Unnamed Member of the Crazy 88 #40,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Kill Bill: Volume 1 (2003),Johnny Mo,"Legs cut off by Beatrix Kiddo with a katana, causing him to fall into a pool.",Male
Kill Bill: Volume 1 (2003),O-Ren Ishii/Cottonmouth,Scalped by Beatrix Kiddo with a katana.,Female
Kill Bill: Volume 2 (2004),Budd/Sidewinder,"Bitten multiple times in the face by a black mamba in a trap set up by Elle Driver/California Mountain Snake, causing him to die of the venom.",Male
Kill Bill: Volume 2 (2004),Pai Mei,"Poisoned by Elle Driver/California Mountain Snake with toxic fish heads for snatching out her eye, shown in a flashback.",Male
Kill Bill: Volume 2 (2004),Elle Driver/California Mountain Snake,"Remaining eyeball ripped out by Beatrix Kiddo/The Bride/Black Mamba, causing her to die off-screen.",Female
Kill Bill: Volume 2 (2004),Emilio (Goldfish),"Stomped on by B.B. Kiddo off-screen, mentioned.",Unknown
Kill Bill: Volume 2 (2004),Bill/Snake Charmer,Heart exploded after Beatrix Kiddo/The Bride/Black Mamba used the Five Point Palm Exploding Heart Technique on him.,Male
Death Proof (2007),Pam,Head smashed against a dashboard by Stuntman Mike McKay.,Female
Death Proof (2007),Shanna,Launched to her death when Stuntman Mike McKay ran over the car.,Female
Death Proof (2007),Lanna,Bombarded with pieces of a windshield when Stuntman Mike McKay ran over the car.,Female
Death Proof (2007),Julia,Leg torn off when Stuntman Mike McKay ran over the car.,Female
Death Proof (2007),Arlene,Face shredded by the tire of Stuntman Mike McKay's car.,Female
Death Proof (2007),Stuntman Mike McKay,"Beaten to death by Abernathy, Kim, and Zoë. Head stomped on by Abernathy. Shared kill.",Male
Inglourious Basterds (2009),Jakob Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Inglourious Basterds (2009),Miriam Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Female
Inglourious Basterds (2009),Bob Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Inglourious Basterds (2009),Amos Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #1,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #2,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #3,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #4,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #5,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #6,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #7,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #8,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #9,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #10,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #11,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier #12,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Inglourious Basterds (2009),Unnamed Nazi Soldier,"Garroted by Hugo Stiglitz, shown in a flashback.",Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,"Stabbed to death Hugo Stiglitz, shown in a flashback.",Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,"Choked to death by Hugo Stiglitz when he shoves his hand down the Nazi's throat, shown in a flashback.",Unknown
Inglourious Basterds (2009),Ten Unnamed Nazi Soldiers,"Killed by Hugo Stiglitz in various ways off-screen, 13 mentioned minus three previously counted victims.",Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,"Throat slashed by Wilhelm Wicki, shown in a flashback.",Unknown
Inglourious Basterds (2009),Four Unnamed Nazi Soldiers,Shot to death by The Basterds. Shared kill between all the Basterds.,Unknown
Inglourious Basterds (2009),Sergeant Werner Rachtman,Beaten to death by Donny Donowitz with a baseball bat.,Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,Shot to death by a member of The Basterds. Shared kill between all the Basterds.,Unknown
Inglourious Basterds (2009),Major Dieter Hellstrom,Shot to death by Hugo Stiglitz and Archie Hicox. Shared kill.,Male
Inglourious Basterds (2009),"Lieutenant Archibald ""Archie"" Hicox",Shot to death by Dieter Hellstrom.,Male
Inglourious Basterds (2009),Unnamed Nazi Soldier,Shot in the back by Wilhelm Wicki.,Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,Shot to death by Hugo Stiglitz.,Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,Shot to death by Hugo Stiglitz.,Unknown
Inglourious Basterds (2009),Technical Sergeant Hugo Stiglitz,Shot by Eric.,Unknown
Inglourious Basterds (2009),Eric,Shot by Wilhelm Wicki.,Male
Inglourious Basterds (2009),Mathilda,Shot to death by Nazi Sergeant Wilhelm.,Female
Inglourious Basterds (2009),Corporal Wilhelm Wicki,Shot to death by Nazi Sergeant Wilhelm.,Unknown
Inglourious Basterds (2009),Unnamed Nazi Soldier,Accidentally shot to death by Nazi Sergeant Wilhelm.,Unknown
Inglourious Basterds (2009),Nazi Sergeant Wilhelm,Shot to death by Bridget von Hammersmark with a pistol.,Male
Inglourious Basterds (2009),Four Unnamed Nazi Soldiers,Shot to death by The Basterds. Shared kill between all the Basterds.,Unknown
Inglourious Basterds (2009),Bridget von Hammersmark,Strangled to death by Hans Landa.,Female
Inglourious Basterds (2009),Unnamed American Soldier #1,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #2,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #3,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #4,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #5,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #6,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #7,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #8,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #9,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #10,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #11,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #12,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #13,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #14,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #15,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #16,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #17,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #18,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #19,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #20,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #21,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #22,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #23,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #24,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #25,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #26,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #27,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #28,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #29,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #30,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #31,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #32,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #33,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #34,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #35,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #36,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Inglourious Basterds (2009),Unnamed American Soldier #37,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
